dept-1:tensor(1.8482)	tensor(0.5482)
dept+1:tensor(1.8454)	tensor(0.4910)
std:tensor(1.7028)	tensor(0.5873)
lr/10:tensor(1.2903)	tensor(0.5753)
no_res:tensor(1.8471)	tensor(0.5542)
lr/100:tensor(1.4847)	tensor(0.5693)
no_norm:tensor(1.6910)	tensor(0.5030)
no_drop:tensor(3.5490)	tensor(0.5693)
lrd:tensor(1.5031)	tensor(0.5301)
no_self_loops:tensor(1.5884)	tensor(0.5964)
